jahr ;wettbewerb;klasse;gesch;Start;team;Start Pos 1;Start Pos 2;Start Pos 3;Start Pos 4;nach Start 1;nach Start 2;nach Start 3;nach Start 4;Garde 1;Garde 2;Garde 3;Garde 4;Ziel 1;Ziel 2;Ziel 3;Ziel 4;Link;;;;;A Gewinnt;B Gewinnt;C Gewinnt;D Gewinnt;Nach Start 1;Nach Start 2;Nach Start 3;Nach Start 4;Zielgrade 1;Zielgrade 2;Zielgrade 3;Zielgrade 4
2011;WM;Sen;m;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=UkQrxb-iGkI;https://www.youtube.com/watch?v=UkQrxb-iGkI;;;;1;;;;1;;;;1;;;
2019;EM;jun;m;;;a;b;c;d;c;a;b;d;c;a;b;d;c;a;b;d;https://www.youtube.com/watch?v=298i89uy8eA;https://www.youtube.com/watch?v=298i89uy8eA;;;;;;1;;1;;;;1;;;
2019;EM;sen;m;;;a;b;c;d;a;b;d;c;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=LGQid8LPhuI;https://www.youtube.com/watch?v=LGQid8LPhuI;;;;1;;;;1;;;;1;;;
2019;EM;sen;w;;;a;b;c;d;a;c;d;b;a;b;d;c;b;a;d;c;https://www.youtube.com/watch?v=uQkAMtdCLHc;https://www.youtube.com/watch?v=uQkAMtdCLHc;;;;;1;;;;;;1;;1;;
2019;EM;jun;w;;;a;b;c;d;a;d;c;b;a;d;c;b;a;d;c;b;https://www.youtube.com/watch?v=B9XoDsjEaeM;https://www.youtube.com/watch?v=B9XoDsjEaeM;;;;1;;;;1;;;;1;;;
2018;EM;Sen;m;;;a;b;c;d;d;b;a;c;d;a;b;c;a;d;b;c;https://www.youtube.com/watch?v=BWyk890tUQY;https://www.youtube.com/watch?v=BWyk890tUQY;;;;1;;;;;;1;;;1;;
2018;EM;jun;w;;;a;b;c;d;b;a;c;d;c;b;a;d;c;b;a;d;https://www.youtube.com/watch?v=JJiWlZLqet4;https://www.youtube.com/watch?v=JJiWlZLqet4;;;;;;1;;;;1;;1;;;
2018;EM;jun;m;;;a;b;c;d;a;b;c;d;b;a;c;d;b;a;c;d;https://www.youtube.com/watch?v=KKzif94mFhw;https://www.youtube.com/watch?v=KKzif94mFhw;;;;;1;;;;1;;;1;;;
2017;EM;jun;m;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=hMp95itlAEY;https://www.youtube.com/watch?v=hMp95itlAEY;;;;1;;;;1;;;;1;;;
2017;EM;jun;w;;;a;b;c;d;a;b;d;c;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=pfJaUoGMQ4E;https://www.youtube.com/watch?v=pfJaUoGMQ4E;;;;1;;;;1;;;;1;;;
2017;EM;sen;m;;;a;b;c;d;a;b;c;d;a;b;d;c;a;b;d;c;https://www.youtube.com/watch?v=9pHhcpH2EtI;https://www.youtube.com/watch?v=9pHhcpH2EtI;;;;1;;;;1;;;;1;;;
2017;EM;sen;w;;;a;b;c;d;a;b;c;d;a;b;c;d;a;b;c;d;https://www.youtube.com/watch?v=bO92JIa87Z4;https://www.youtube.com/watch?v=bO92JIa87Z4;;;;1;;;;1;;;;1;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;22;8;5;4;24;6;7;2;35;4;1;0
